query,topIntent,conversationName,description,answer,enabled
هل يمكنني زيادة القرض القائم لدي او الحصول علي اكثر من تمويل ؟,ANS.FAQs.personal.loan.increas.amount.outstand.obtain.on,FAQ: Can I increase the amount of an outstanding loan or obtain more than one loan?,,"Yes, in case the customer's debt burden allows. The loan shall be extended at the interest rate declared at the time of extension. ",TRUE
How can I repay the loan installments?,ANS.FAQs.personal.loan.repai.instal,FAQ: How can I repay the loan installments?,,Repayment of the monthly installments are made by either directly debiting the borrower's payroll account at the Bank with the value of the installments once his/her salary/pension is transferred; depositing the installment amount in his/her account  at the branch or through ATM; or by a bank transfer to the relevant account.,TRUE
كيف يمكنني ان اسدد أقساط التمويل بعد الحصول عليه ؟,ANS.FAQs.personal.loan.repai.instal,FAQ: How can I repay the loan installments?,,Repayment of the monthly installments are made by either directly debiting the borrower's payroll account at the Bank with the value of the installments once his/her salary/pension is transferred; depositing the installment amount in his/her account  at the branch or through ATM; or by a bank transfer to the relevant account.,TRUE
Can I prepay the loan?,ANS.FAQs.personal.loan.prepai,FAQ: Can I prepay the loan?,,"Yes, you can partially or fully prepay the loan and incur a prepayment fee for the remaining amount of the loan in case of full repayment or for the amount subject of partial prepayment.",TRUE
هل يمكنني سداد التمويل قبل انتهاء مدته التي تم التعاقد عليها وقت المنح ؟,ANS.FAQs.personal.loan.prepai,FAQ: Can I prepay the loan?,,"Yes, you can partially or fully prepay the loan and incur a prepayment fee for the remaining amount of the loan in case of full repayment or for the amount subject of partial prepayment.",TRUE
How can I subscribe to AL Ahly PhoneCash? ,ANS.FAQs.alAhlyPhoneCash.subscrib,FAQ: How can I subscribe to AL Ahly PhoneCash? ,,"For NBE customers, you can subscribe by visiting the nearest NBE branch or through NBE website (through self-services/Phone Cash self-registration). 

Non-NBE customers can subscribe to Al Ahly PhoneCash via any NBE branch or e-branch.",TRUE
كيف يمكننى الاشتراك في محفظة الأهلى فون كاش ؟,ANS.FAQs.alAhlyPhoneCash.subscrib,FAQ: How can I subscribe to AL Ahly PhoneCash? ,,"For NBE customers, you can subscribe by visiting the nearest NBE branch or through NBE website (through self-services/Phone Cash self-registration). 

Non-NBE customers can subscribe to Al Ahly PhoneCash via any NBE branch or e-branch.",TRUE
What are the required documents for subscription? ,ANS.FAQs.alAhlyPhoneCash.req.document.subscript,FAQ: What are the required documents for subscription? ,,"National ID copy and a mobile number that is registered under the customer's name at a mobile service provider in Egypt, noting that the customer's details registered at the said provider have to match the details mentioned in the customer's national ID used to apply for Al Ahly PhoneCash. ",TRUE
ما هي الأوراق المطلوبة للاشتراك بالخدمة ؟,ANS.FAQs.alAhlyPhoneCash.req.document.subscript,FAQ: What are the required documents for subscription? ,,"National ID copy and a mobile number that is registered under the customer's name at a mobile service provider in Egypt, noting that the customer's details registered at the said provider have to match the details mentioned in the customer's national ID used to apply for Al Ahly PhoneCash. ",TRUE
How many wallets can I subscribe to?,ANS.FAQs.alAhlyPhoneCash.wallet.subscrib,FAQ: How many wallets can I subscribe to?,,The customer has the right to subscribe to 3 e-wallets using his national ID through 3 different mobile numbers. ,TRUE
كم عدد المحافظ التي يمكننى الاشتراك بها ؟,ANS.FAQs.alAhlyPhoneCash.wallet.subscrib,FAQ: How many wallets can I subscribe to?,,The customer has the right to subscribe to 3 e-wallets using his national ID through 3 different mobile numbers. ,TRUE
How can I create Al Ahly PhoneCash password for the first time?,ANS.FAQs.alAhlyPhoneCash.creat.password.first.time,FAQ: How can I create Al Ahly PhoneCash password for the first time?,,"The customer shall download the application, click on activate account, provide the required information (name, registered mobile number and national ID number), an activation code will be automatically sent to activate the wallet, then the customer is required to create six number password. ",TRUE
كيف يمكنني الحصول على الرقم  السري الخاص بخدمة  الأهلى فون كاش أول مرة  ؟,ANS.FAQs.alAhlyPhoneCash.creat.password.first.time,FAQ: How can I create Al Ahly PhoneCash password for the first time?,,"The customer shall download the application, click on activate account, provide the required information (name, registered mobile number and national ID number), an activation code will be automatically sent to activate the wallet, then the customer is required to create six number password. ",TRUE
How can I reset my password? ,ANS.FAQs.alAhlyPhoneCash.reset.password,FAQ: How can I reset my password? ,,You can reset the password through NBE call center by calling 19623.,TRUE
كيف يمكن إعادة ضبط الرقم السرى ؟,ANS.FAQs.alAhlyPhoneCash.reset.password,FAQ: How can I reset my password? ,,You can reset the password through NBE call center by calling 19623.,TRUE
How can I change my password? ,ANS.FAQs.alAhlyPhoneCash.chang.password,FAQ: How can I change my password? ,,"Log into the mobile application main menu, click ""settings"", click ""change password"", enter the current wallet password and then enter the new password twice (for confirmation). ",TRUE
كيف يمكنني تغيير الرقم السري؟,ANS.FAQs.alAhlyPhoneCash.chang.password,FAQ: How can I change my password? ,,"Log into the mobile application main menu, click ""settings"", click ""change password"", enter the current wallet password and then enter the new password twice (for confirmation). ",TRUE
What if I entered a wrong password more than once?,ANS.FAQs.alAhlyPhoneCash.enter.wrong.password.onc,FAQ: What if I entered a wrong password more than once?,,The service will be temporarily suspended until you contact the call center to cancel the suspension after verifying your data. ,TRUE
ماذا لو قمت بإدخال الرقم السرى خطأ أكثر من مرة؟,ANS.FAQs.alAhlyPhoneCash.enter.wrong.password.onc,FAQ: What if I entered a wrong password more than once?,,The service will be temporarily suspended until you contact the call center to cancel the suspension after verifying your data. ,TRUE
What if I changed my mobile number? ,ANS.FAQs.alAhlyPhoneCash.chang.mobil.number,FAQ: What if I changed my mobile number? ,,"Withdraw the whole balance available on your mobile wallet, visit the nearest NBE branch to close the wallet, then re-apply for the service using the new phone number. 
In case you failed to withdraw the balance, visit the nearest NBE branch and fill in the service termination form and receive all the available balance.
",TRUE
ماذا لو قمت بتغيير رقم الهاتف المحمول الخاص بى ؟,ANS.FAQs.alAhlyPhoneCash.chang.mobil.number,FAQ: What if I changed my mobile number? ,,"Withdraw the whole balance available on your mobile wallet, visit the nearest NBE branch to close the wallet, then re-apply for the service using the new phone number. 
In case you failed to withdraw the balance, visit the nearest NBE branch and fill in the service termination form and receive all the available balance.
",TRUE
What if I change my mobile phone device?,ANS.FAQs.alAhlyPhoneCash.chang.mobil.phone.devic,FAQ: What if I change my mobile phone device?,,"Download the PhoneCash application from the mobile store, enter the mobile number and wallet PIN, an activation code will be sent automatically to verify mobile number, then enter the activation code and the wallet will be activated. ",TRUE
ماذا لو قمت بتغيير جهاز الهاتف المحمول ؟,ANS.FAQs.alAhlyPhoneCash.chang.mobil.phone.devic,FAQ: What if I change my mobile phone device?,,"Download the PhoneCash application from the mobile store, enter the mobile number and wallet PIN, an activation code will be sent automatically to verify mobile number, then enter the activation code and the wallet will be activated. ",TRUE
What if the mobile SIM linked to the wallet is stolen/lost?,ANS.FAQs.alAhlyPhoneCash.mobil.sim.link.wallet.stolen.lost,FAQ: What if the mobile SIM linked to the wallet is stolen/lost?,,Contact NBE call center on 19623 or visit the nearest NBE branch to suspend the service. ,TRUE
ماذا لو تم سرقة /فقد شريحة الهاتف المحمول ؟,ANS.FAQs.alAhlyPhoneCash.mobil.sim.link.wallet.stolen.lost,FAQ: What if the mobile SIM linked to the wallet is stolen/lost?,,Contact NBE call center on 19623 or visit the nearest NBE branch to suspend the service. ,TRUE
Can I transfer any amounts to a wallet outside Egypt?,ANS.FAQs.alAhlyPhoneCash.transfer.amount.wallet.outsid.egypt,FAQ: Can I transfer any amounts to a wallet outside Egypt?,,No. Currently you cannot transfer amounts to customers outside Egypt. ,TRUE
هل يمكن تحويل أي مبالغ لمحفظة عميل اخر خارج الجمهورية ؟,ANS.FAQs.alAhlyPhoneCash.transfer.amount.wallet.outsid.egypt,FAQ: Can I transfer any amounts to a wallet outside Egypt?,,No. Currently you cannot transfer amounts to customers outside Egypt. ,TRUE
How can I review the details of the transactions made via the wallet?,ANS.FAQs.alAhlyPhoneCash.review.detail.transact.made.wallet,FAQ: How can I review the details of the transactions made via the wallet?,,"It is available to review the previous transactions made via the wallet from ""my transactions"" service on the mobile application. ",TRUE
كيف يمكننى الاطلاع على تفاصيل المعاملات التي تمت باستخدام المحفظة؟ ,ANS.FAQs.alAhlyPhoneCash.review.detail.transact.made.wallet,FAQ: How can I review the details of the transactions made via the wallet?,,"It is available to review the previous transactions made via the wallet from ""my transactions"" service on the mobile application. ",TRUE
How can I link any NBE card to the wallet? ,ANS.FAQs.alAhlyPhoneCash.link.card.wallet,FAQ: How can I link any NBE card to the wallet? ,,"Click ""My wallet"" tab from the application, click ""My cards"", then click on the plus ""+"" icon and insert your NBE card details. ",TRUE
كيف يمكنني ربط أي يطاقة مصدرة من البنك على المحفظة؟,ANS.FAQs.alAhlyPhoneCash.link.card.wallet,FAQ: How can I link any NBE card to the wallet? ,,"Click ""My wallet"" tab from the application, click ""My cards"", then click on the plus ""+"" icon and insert your NBE card details. ",TRUE
How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage? ,ANS.FAQs.alAhlyPhoneCash.replac.card.number.link.wallet.upon.replac.due.loss.damag,FAQ: How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage? ,,"Open the mobile application, click ""My wallet"", then ""My cards"", select the replaced card, press remove, then press the plus ""+"" icon to insert the new card details. ",TRUE
كيف يمكنني استبدال البطاقة الخاصة بي المربوطة على محفظة الأهلي الفون كاش بسبب فقدانها او تلفها؟,ANS.FAQs.alAhlyPhoneCash.replac.card.number.link.wallet.upon.replac.due.loss.damag,FAQ: How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage? ,,"Open the mobile application, click ""My wallet"", then ""My cards"", select the replaced card, press remove, then press the plus ""+"" icon to insert the new card details. ",TRUE
How can I close my wallet?,ANS.FAQs.alAhlyPhoneCash.close.wallet,FAQ: How can I close my wallet?,,"Withdraw all the available balance, then visit the nearest NBE branch.",TRUE
كيف يتم اغلاق المحفظة ؟,ANS.FAQs.alAhlyPhoneCash.close.wallet,FAQ: How can I close my wallet?,,"Withdraw all the available balance, then visit the nearest NBE branch.",TRUE
How can I get a POS machine?,ANS.FAQs.pos.machin,FAQ: How can I get a POS machine?,,Call the hotline: 19823,TRUE
كيف يمكن التعاقد على ماكينات الفيزا,ANS.FAQs.pos.machin,FAQ: How can I get a POS machine?,,Call the hotline: 19823,TRUE
What are the required documents for POS?,ANS.FAQs.pos.req.document,FAQ: What are the required documents for POS?,,Commercial register/ Tax card/ national ID copy of the authorized signatory. ,TRUE
ما هي الأوراق المطلوبة للتعاقد على ماكينات الفيزا,ANS.FAQs.pos.req.document,FAQ: What are the required documents for POS?,,Commercial register/ Tax card/ national ID copy of the authorized signatory. ,TRUE
What is the set settlement time for a POS?,ANS.FAQs.pos.set.settlement.time,FAQ: What is the set settlement time for a POS?,,The second business day.,TRUE
ما هو الوقت المحدد لتسوية مبالغ على الماكينة,ANS.FAQs.pos.set.settlement.time,FAQ: What is the set settlement time for a POS?,,The second business day.,TRUE
What are the contracting procedures? ,ANS.FAQs.pos.contract.procedur,FAQ: What are the contracting procedures? ,,Opening a current account at any NBE branch.,TRUE
ما هي إجراءات التعاقد ,ANS.FAQs.pos.contract.procedur,FAQ: What are the contracting procedures? ,,Opening a current account at any NBE branch.,TRUE
Is there a rental fee for the POS machine?,ANS.FAQs.pos.rental.fee.machin,FAQ: Is there a rental fee for the POS machine?,,No. A commission shall be deducted from the sale transactions executed via the POS as agreed upon in the contract. ,TRUE
هل يوجد قيمة إجارية للماكينة ,ANS.FAQs.pos.rental.fee.machin,FAQ: Is there a rental fee for the POS machine?,,No. A commission shall be deducted from the sale transactions executed via the POS as agreed upon in the contract. ,TRUE
what is the commission deducted for sale transactions?,ANS.FAQs.pos.commiss.deduct.sale.transact,FAQ: what is the commission deducted for sale transactions?,,Commission is determined as per the nature of the business activity. ,TRUE
ما هي نسبه العمولة المخصومة على حركات البيع,ANS.FAQs.pos.commiss.deduct.sale.transact,FAQ: what is the commission deducted for sale transactions?,,Commission is determined as per the nature of the business activity. ,TRUE
Can customers be charged for the commission?,ANS.FAQs.pos.custom.charg.commiss,FAQ: Can customers be charged for the commission?,,The merchant incurs the transaction's commission as per the instructions of the international institutions.,TRUE
هل يجوز إضافة عمولة الماكينة على العميل ,ANS.FAQs.pos.custom.charg.commiss,FAQ: Can customers be charged for the commission?,,The merchant incurs the transaction's commission as per the instructions of the international institutions.,TRUE
How can transactions be reviewed?,ANS.FAQs.pos.transact.review,FAQ: How can transactions be reviewed?,,A statement of the daily transactions shall be sent to the merchant's approved e-mail at the day following the transaction date. ,TRUE
كيفة مراجعة حركات البيع ,ANS.FAQs.pos.transact.review,FAQ: How can transactions be reviewed?,,A statement of the daily transactions shall be sent to the merchant's approved e-mail at the day following the transaction date. ,TRUE
What are the other advantages of POS machines?,ANS.FAQs.pos.advantag.machin,FAQ: What are the other advantages of POS machines?,,Installments for NBE Credit Card holders- Discounts for NBE card holders- Cash withdrawal service according to business type (Hyper Market-  Gas stations). ,TRUE
ما هي المميزات الأخرى للماكينة,ANS.FAQs.pos.advantag.machin,FAQ: What are the other advantages of POS machines?,,Installments for NBE Credit Card holders- Discounts for NBE card holders- Cash withdrawal service according to business type (Hyper Market-  Gas stations). ,TRUE
Can a POS machine be linked to a retail account?,ANS.FAQs.pos.machin.link.ret.acc,FAQ: Can a POS machine be linked to a retail account?,,No. A corporate current account shall be opened for business transactions. ,TRUE
هل يمكن ربط الماكينة بحساب أفراد ,ANS.FAQs.pos.machin.link.ret.acc,FAQ: Can a POS machine be linked to a retail account?,,No. A corporate current account shall be opened for business transactions. ,TRUE
How long does the contracting procedure take? ,ANS.FAQs.pos.long.contract.procedur,FAQ: How long does the contracting procedure take? ,,Contracting is completed within 5 days from the account opening. ,TRUE
ما هو زمن اتام عملية التعاقد,ANS.FAQs.pos.long.contract.procedur,FAQ: How long does the contracting procedure take? ,,Contracting is completed within 5 days from the account opening. ,TRUE
What are the cards acceptable at POS machines? ,ANS.FAQs.pos.card.accept.machin,FAQ: What are the cards acceptable at POS machines? ,,All types of credit and debit cards. ,TRUE
ما هي انواع الكروت التي تعمل على الماكينة ,ANS.FAQs.pos.card.accept.machin,FAQ: What are the cards acceptable at POS machines? ,,All types of credit and debit cards. ,TRUE
What is the period required for POS maintenance?,ANS.FAQs.pos.period.req.mainten,FAQ: What is the period required for POS maintenance?,,24 hours inside Cairo - 72 hours outside Cairo.,TRUE
ما هو الوقت المحدد لصيانة الماكينات ,ANS.FAQs.pos.period.req.mainten,FAQ: What is the period required for POS maintenance?,,24 hours inside Cairo - 72 hours outside Cairo.,TRUE
Can I change my user ID?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.chang.user.id,FAQ: Can I change my user ID?,,You may not change your user ID.,TRUE
هل يمكنني تغيير كود المستخدم الخاص بي؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.chang.user.id,FAQ: Can I change my user ID?,,You may not change your user ID.,TRUE
How can I get a password to use Al Ahly Net & NBE Mobile?  ,ANS.FAQs.alAhlyNet.nbe.mobile.ret.password.us,FAQ: How can I get a password to use Al Ahly Net & NBE Mobile?  ,,"After subscribing to the service, a “Login Passcode” will be sent to your mobile phone registered with the Bank to be used in creating your “Login Password”.",TRUE
كيف يمكنني الحصول على كلمة المرور لخدمة الأهلي نت/ الأهلي موبايل؟ ,ANS.FAQs.alAhlyNet.nbe.mobile.ret.password.us,FAQ: How can I get a password to use Al Ahly Net & NBE Mobile?  ,,"After subscribing to the service, a “Login Passcode” will be sent to your mobile phone registered with the Bank to be used in creating your “Login Password”.",TRUE
When can I use Al Ahly Net?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.when.us,FAQ: When can I use Al Ahly Net?,,Al Ahly Net is available 24/7.,TRUE
متي يمكنني استخدام خدمة الأهلي نت؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.when.us,FAQ: When can I use Al Ahly Net?,,Al Ahly Net is available 24/7.,TRUE
Can I login for the first time via NBE Mobile application?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.login.first.time.app,FAQ: Can I login for the first time via NBE Mobile application?,,"Yes, you can login for the first time via NBE Mobile application and create your “Login Password”.",TRUE
هل يمكنني الدخول لأول مرة من خلال تطبيق الموبيل البنكي؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.login.first.time.app,FAQ: Can I login for the first time via NBE Mobile application?,,"Yes, you can login for the first time via NBE Mobile application and create your “Login Password”.",TRUE
"Can the ""Login Password” be changed?",ANS.FAQs.alAhlyNet.nbe.mobile.ret.login.password.chang,"FAQ: Can the ""Login Password” be changed?",,"Yes, you can change the ""Login Password” by clicking on “Change Password>Enter Old Password> New Password>Confirm New Password”.",TRUE
"هل يمكنني تغيير كلمة مرور تسجيل الدخول "" Login Password""؟",ANS.FAQs.alAhlyNet.nbe.mobile.ret.login.password.chang,"FAQ: Can the ""Login Password” be changed?",,"Yes, you can change the ""Login Password” by clicking on “Change Password>Enter Old Password> New Password>Confirm New Password”.",TRUE
What happens if an incorrect login password is entered?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.happen.incorrect.login.password.enter,FAQ: What happens if an incorrect login password is entered?,,"In case of making 5 consecutive failed attempts to enter the login password, the User ID will be suspended. You should contact NBE’s Call Center at 19623 or visit the nearest branch to remove the suspension. ",TRUE
"ماذا يحدث إذا تم ادخال كلمة مرور تسجيل الدخول "" Login Password"" بطريقة غير صحيحة؟",ANS.FAQs.alAhlyNet.nbe.mobile.ret.happen.incorrect.login.password.enter,FAQ: What happens if an incorrect login password is entered?,,"In case of making 5 consecutive failed attempts to enter the login password, the User ID will be suspended. You should contact NBE’s Call Center at 19623 or visit the nearest branch to remove the suspension. ",TRUE
Which web browser can be used to access Al Ahly Net?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.web.browser.us.access,FAQ: Which web browser can be used to access Al Ahly Net?,,"Supported browsers are Microsoft Edge, Firefox & Google Chrome. Please use the latest versions of these browsers to ensure that the system runs smoothly.",TRUE
أي من خدمات المتصفح يمكن استخدامها؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.web.browser.us.access,FAQ: Which web browser can be used to access Al Ahly Net?,,"Supported browsers are Microsoft Edge, Firefox & Google Chrome. Please use the latest versions of these browsers to ensure that the system runs smoothly.",TRUE
Is Soft Token App service available to both retail and corporate customers?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.soft.token.app.avail.ret.corp.custom,FAQ: Is Soft Token App service available to both retail and corporate customers?,,"No, it is available only to NBE’s retail customers.",TRUE
هل خدمة تطبيق رموز الأمان متاحة للأفراد والشركات؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.soft.token.app.avail.ret.corp.custom,FAQ: Is Soft Token App service available to both retail and corporate customers?,,"No, it is available only to NBE’s retail customers.",TRUE
How can the soft token be used in making transfers and carrying out transactions?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.soft.token.us.make.transfer.carri.transact,FAQ: How can the soft token be used in making transfers and carrying out transactions?,,"Download the App via Google Play/ App Store, then log into Al Ahly Net/NBE Mobile>Soft Token Services>Soft Token App Services>Activate Soft Token>enter the OTP sent to your mobile phone number and email registered with the Bank, then Tick for acceptance of the “Terms & Conditions”, scan the Cronto Image (QR code) or enter the activation code and password into the App.",TRUE
كيف يمكنني تفعيل تطبيق رموز الأمان لتنفيذ التحويلات والمعاملات المالية؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.soft.token.us.make.transfer.carri.transact,FAQ: How can the soft token be used in making transfers and carrying out transactions?,,"Download the App via Google Play/ App Store, then log into Al Ahly Net/NBE Mobile>Soft Token Services>Soft Token App Services>Activate Soft Token>enter the OTP sent to your mobile phone number and email registered with the Bank, then Tick for acceptance of the “Terms & Conditions”, scan the Cronto Image (QR code) or enter the activation code and password into the App.",TRUE
Can the soft token App and hard token be used together in creating an OTP?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.soft.token.app.hard.us.togeth.creat.otp,FAQ: Can the soft token App and hard token be used together in creating an OTP?,,"Yes, the soft token and hard token for a retail customer User ID can be used together in case you have subscribed to both types of tokens.",TRUE
هل يمكنني استخدام تطبيق رموز الأمان وجهاز رموز الأمان معا لأنشاء الرقم السري المتغير ؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.soft.token.app.hard.us.togeth.creat.otp,FAQ: Can the soft token App and hard token be used together in creating an OTP?,,"Yes, the soft token and hard token for a retail customer User ID can be used together in case you have subscribed to both types of tokens.",TRUE
Can fingerprint be activated on the soft token App?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.fingerprint.activ.soft.token.app,FAQ: Can fingerprint be activated on the soft token App?,,"Yes, fingerprint can be activated on the soft token App via Settings>Biometric Authentication>Enter App PIN code>Confirm using fingerprint.",TRUE
هل يمكن تفعيل استخدام معرف البصمة على تطبيق رموز الأمان؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.fingerprint.activ.soft.token.app,FAQ: Can fingerprint be activated on the soft token App?,,"Yes, fingerprint can be activated on the soft token App via Settings>Biometric Authentication>Enter App PIN code>Confirm using fingerprint.",TRUE
Is Hard Token service available to both retail and corporate customers?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.avail.ret.corp.custom,FAQ: Is Hard Token service available to both retail and corporate customers?,,"Yes, the service is available to both NBE's retail and corporate customers. ",TRUE
هل خدمة جهاز رموز الأمان متاحة للأفراد والشركات؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.avail.ret.corp.custom,FAQ: Is Hard Token service available to both retail and corporate customers?,,"Yes, the service is available to both NBE's retail and corporate customers. ",TRUE
How can a hard token be obtained for Al Ahly Net/NBE Mobile?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.obtain,FAQ: How can a hard token be obtained for Al Ahly Net/NBE Mobile?,,You can receive a hard token from the nearest branch and activate it via Al Ahly Net/NBE Mobile or by contacting NBE's Call Center at 19623.,TRUE
كيف يتم الحصول على جهاز رموز الأمان على خدمة الأهلي نت/ الأهلي موبايل؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.obtain,FAQ: How can a hard token be obtained for Al Ahly Net/NBE Mobile?,,You can receive a hard token from the nearest branch and activate it via Al Ahly Net/NBE Mobile or by contacting NBE's Call Center at 19623.,TRUE
How can a PIN code be assigned for the hard token for Al Ahly Net/NBE Mobile?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.pin.code.assign.hard.token,FAQ: How can a PIN code be assigned for the hard token for Al Ahly Net/NBE Mobile?,,Click “Ok” then enter 4 digits. Re-enter the digits to confirm the PIN code.,TRUE
كيف يتم تعيين رقم سري PIN لجهاز رموز الأمان على خدمة الأهلي نت/ الأهلي موبايلي؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.pin.code.assign.hard.token,FAQ: How can a PIN code be assigned for the hard token for Al Ahly Net/NBE Mobile?,,Click “Ok” then enter 4 digits. Re-enter the digits to confirm the PIN code.,TRUE
How can a one-time password (OTP) be created through the hard token?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.on.time.password.otp.creat.hard.token,FAQ: How can a one-time password (OTP) be created through the hard token?,,"Open the hard token by clicking “OK”, enter the hard token 4-digit PIN code then click “1” to create an OTP to carry out transactions through the service.",TRUE
كيف يتم انشاء الرقم السري المتغير OTP من خلال جهاز رموز الأمان؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.on.time.password.otp.creat.hard.token,FAQ: How can a one-time password (OTP) be created through the hard token?,,"Open the hard token by clicking “OK”, enter the hard token 4-digit PIN code then click “1” to create an OTP to carry out transactions through the service.",TRUE
What are the actions available for the hard token?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.action.avail.hard.token,FAQ: What are the actions available for the hard token?,,"You can activate, refresh and deactivate the hard token.",TRUE
ما هي الخدمات المتاحة لجهاز رموز الأمان؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.action.avail.hard.token,FAQ: What are the actions available for the hard token?,,"You can activate, refresh and deactivate the hard token.",TRUE
Can the hard token services be used via Al Ahly Net/NBE Mobile?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.us,FAQ: Can the hard token services be used via Al Ahly Net/NBE Mobile?,,"Yes, you can use this service via Al Ahly Net/NBE Mobile.",TRUE
هل يمكن استخدام خدمات جهاز رموز الأمان من خلال الأهلي نت/ الأهلي موبايل؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.us,FAQ: Can the hard token services be used via Al Ahly Net/NBE Mobile?,,"Yes, you can use this service via Al Ahly Net/NBE Mobile.",TRUE
How can I track financial transactions carried out on the accounts?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.track.financi.transact.carri.acc,FAQ: How can I track financial transactions carried out on the accounts?,,"Go to the menu>Current and Savings>”Account Activity”>  choose “From” and “To” dates from the drop down menu, then click on “Apply”; or go to “Account Details” then click on “Account Activity”.",TRUE
كيف يمكنني متابعة المعاملات المالية للحسابات؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.track.financi.transact.carri.acc,FAQ: How can I track financial transactions carried out on the accounts?,,"Go to the menu>Current and Savings>”Account Activity”>  choose “From” and “To” dates from the drop down menu, then click on “Apply”; or go to “Account Details” then click on “Account Activity”.",TRUE
Can financial transactions be printed?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.financi.transact.print,FAQ: Can financial transactions be printed?,,"Yes, you can print and save a statement of the account activity in PDF format.",TRUE
هل يمكنني طباعة المعاملات المالية للحسابات؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.financi.transact.print,FAQ: Can financial transactions be printed?,,"Yes, you can print and save a statement of the account activity in PDF format.",TRUE
Can debit and credit transactions be viewed separately?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.debit.credit.transact.view.separ,FAQ: Can debit and credit transactions be viewed separately?,,"Yes, you can view debit transactions only or credit transactions only by choosing the transaction type from the drop down menu on the “Account Activity” screen.",TRUE
هل يمكن عرض نشاط الحساب للمعاملات المدينة فقط او الدائنة فقط؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.debit.credit.transact.view.separ,FAQ: Can debit and credit transactions be viewed separately?,,"Yes, you can view debit transactions only or credit transactions only by choosing the transaction type from the drop down menu on the “Account Activity” screen.",TRUE
Can the details of cheques be inquired about?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.chequ.inquir,FAQ: Can the details of cheques be inquired about?,,"Yes, you can view the number, status and amount of the cheque. ",TRUE
هل يمكنني الاستعلام عن   تفاصيل الشيكات ؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.chequ.inquir,FAQ: Can the details of cheques be inquired about?,,"Yes, you can view the number, status and amount of the cheque. ",TRUE
How can the details of settled cheques be obtained?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.settl.chequ.obtain,FAQ: How can the details of settled cheques be obtained?,,"Go to the menu “Accounts”>Current & Savings>choose “Cheque Status Inquiry”, then identify the relevant account. ",TRUE
كيف يمكنني الحصول على تفاصيل الشيكات المدفوعة؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.settl.chequ.obtain,FAQ: How can the details of settled cheques be obtained?,,"Go to the menu “Accounts”>Current & Savings>choose “Cheque Status Inquiry”, then identify the relevant account. ",TRUE
Can the status of cheques under collection be viewed?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.statu.chequ.collect.view,FAQ: Can the status of cheques under collection be viewed?,,"Yes, you can view the status of cheques under collection deposited at the Bank (settled/rejected/under collection)",TRUE
هل يمكنني معرفة حالة الشيكات تحت التحصيل؟,ANS.FAQs.alAhlyNet.nbe.mobile.ret.statu.chequ.collect.view,FAQ: Can the status of cheques under collection be viewed?,,"Yes, you can view the status of cheques under collection deposited at the Bank (settled/rejected/under collection)",TRUE
